City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
Mariehamn,0,AX,1604810793,80,60.1,19.93,5.0,2.6
Luau,68,AO,1604810794,96,-10.71,22.22,19.28,1.66
Drovyanaya,58,RU,1604810794,48,51.58,113.03,-6.0,4.0
Dikson,99,RU,1604810634,91,73.51,80.55,-20.01,5.99
Mar del Plata,90,AR,1604810628,100,-38.0,-57.56,16.0,2.1
Khorinsk,96,RU,1604810795,90,52.17,109.77,-2.91,2.91
Kavieng,67,PG,1604810672,72,-2.57,150.8,28.68,1.08
Burevestnik,75,RU,1604810796,93,56.14,43.79,5.56,5.0
Broken Hill,0,AU,1604810676,19,-31.95,141.43,27.0,5.7
Poum,18,NC,1604810632,77,-20.23,164.02,24.76,9.19
Tarauacá,81,BR,1604810797,78,-8.16,-70.77,23.76,0.36
Leningradskiy,100,RU,1604810634,96,69.38,178.42,-7.94,3.7
Soyaux,90,FR,1604810798,93,45.65,0.2,13.89,2.6
Pita,0,GN,1604810798,53,10.83,-12.58,22.12,0.99
Qaanaaq,1,GL,1604810798,68,77.48,-69.36,-23.44,3.83
Freeport,1,US,1604810799,81,40.66,-73.58,15.0,3.03
Port Elizabeth,0,ZA,1604810491,88,-33.92,25.57,17.0,1.0
Sar-e Pul,56,AF,1604810659,17,35.83,66.17,19.99,1.04
Barranca,67,PE,1604810800,93,-10.75,-77.77,14.25,1.93
Sovetskiy,37,RU,1604810800,97,61.36,63.58,-0.92,2.34
Oranjemund,5,NA,1604810801,85,-28.55,16.43,15.97,0.78
Lapua,0,FI,1604810801,88,62.97,23.01,0.56,1.5
Price,20,US,1604810801,80,39.6,-110.81,5.0,3.6
Kaitangata,0,NZ,1604810802,43,-46.28,169.85,13.89,4.02
Altenburg,26,DE,1604810620,100,50.98,12.45,2.78,2.1
Saldanha,52,ZA,1604810619,93,-33.01,17.94,14.0,3.6
Hermanus,78,ZA,1604810653,91,-34.42,19.23,13.89,2.24
El Alto,16,PE,1604810803,89,-4.27,-81.21,16.64,7.27
San Quintín,1,MX,1604810636,67,30.48,-115.95,15.84,6.75
Havre-St-Pierre,1,CA,1604810694,79,50.23,-63.6,-5.0,2.6
Novo Aripuanã,34,BR,1604810804,93,-5.12,-60.38,23.86,0.64
Launceston,0,AU,1604810805,42,-41.45,147.17,19.0,5.1
Terra Nova,36,BR,1604810805,94,-12.37,-40.67,20.95,2.6
Torbay,90,CA,1604810635,74,47.67,-52.73,2.22,7.7
Adrar,0,MR,1604810806,21,20.5,-10.07,25.73,3.31
Vila Velha,75,BR,1604810642,94,-20.33,-40.29,23.0,1.5
Tarakan,99,ID,1604810807,78,3.3,117.63,27.17,1.49
Cerritos,20,US,1604810807,58,33.86,-118.06,14.44,5.86
Verkhnevilyuysk,65,RU,1604810807,89,63.45,120.32,-18.02,1.92
Boguchany,100,RU,1604810808,91,58.38,97.45,4.82,2.89
São João da Barra,95,BR,1604810808,92,-21.64,-41.05,22.98,2.82
Murbād,40,IN,1604810809,40,19.25,73.4,30.0,3.6
Tocopilla,4,CL,1604810809,58,-22.09,-70.2,15.75,0.67
Okakarara,16,NA,1604810809,23,-20.58,17.43,21.37,0.85
Rørvik,84,NO,1604810810,63,64.86,11.24,7.06,7.48
Nizhniy Kuranakh,100,RU,1604810810,90,58.84,125.49,-15.52,3.1
Half Moon Bay,90,US,1604810810,76,37.46,-122.43,12.22,9.3
Tiksi,65,RU,1604810758,92,71.69,128.87,-21.2,0.85
Busselton,76,AU,1604810811,52,-33.65,115.33,23.89,3.13
Zhigansk,44,RU,1604810811,88,66.77,123.37,-25.62,1.65
Ostrovnoy,96,RU,1604810577,86,68.05,39.51,3.04,10.47
Katsuura,100,JP,1604810688,63,35.13,140.3,22.22,1.34
Ahipara,30,NZ,1604810650,76,-35.17,173.17,16.02,5.9
Sujiatun,0,CN,1604810813,20,41.66,123.34,5.0,5.0
Davila,90,PH,1604810814,88,18.47,120.58,27.0,5.1
Saint-Philippe,20,RE,1604810814,65,-21.36,55.77,26.0,9.8
Hanyang,79,CN,1604810814,68,32.14,105.51,18.33,1.26
Nantucket,1,US,1604810815,87,41.28,-70.1,14.0,4.6
Kenai,90,US,1604810815,92,60.55,-151.26,-2.22,7.7
Bahía Blanca,0,AR,1604810815,57,-38.72,-62.27,17.36,5.66
Lavrentiya,9,RU,1604810816,95,65.58,-171.0,-2.65,2.29
College,90,US,1604810816,85,64.86,-147.8,-4.44,1.33
Chokurdakh,100,RU,1604810674,94,70.63,147.92,-17.61,1.2
Hede,0,CN,1604810817,44,33.77,120.25,17.99,5.86
Mirador,50,BR,1604810818,85,-6.37,-44.36,23.18,1.31
Makakilo City,1,US,1604810818,65,21.35,-158.09,27.0,2.1
Cabedelo,75,BR,1604810663,88,-6.98,-34.83,25.0,4.1
Ereymentau,88,KZ,1604810819,43,51.62,73.1,9.91,10.04
Dunyapur,0,PK,1604810819,46,29.8,71.72,21.0,3.1
Mazatlán,5,MX,1604810819,88,23.22,-106.42,27.22,1.7
Lana,37,IT,1604810820,84,46.61,11.16,6.11,1.17
Santa Cruz de la Sierra,0,BO,1604810820,73,-17.8,-63.17,25.0,1.0
Mossamedes,100,AO,1604810820,69,-15.2,12.15,20.47,2.09
Linda,1,US,1604810821,57,39.13,-121.55,11.11,4.6
Alice Springs,100,AU,1604810646,10,-23.7,133.88,35.0,5.1
Hasaki,75,JP,1604810694,68,35.73,140.83,22.22,3.1
Bonthe,91,SL,1604810822,87,7.53,-12.51,25.77,1.49
Bengkulu,84,ID,1604810822,67,-3.8,102.27,29.39,4.16
Nur-Sultan,40,KZ,1604810810,39,51.18,71.45,8.0,7.0
Longyearbyen,20,SJ,1604810661,80,78.22,15.64,-1.0,1.0
Povenets,0,RU,1604810824,80,62.85,34.83,2.39,6.37
Kamenka,6,RU,1604810559,94,51.32,42.77,2.22,5.46
Ayr,20,GB,1604810824,87,55.46,-4.63,7.0,4.71
Fort Nelson,20,CA,1604810825,92,58.81,-122.7,-15.0,0.66
Camacha,20,PT,1604810825,72,33.08,-16.33,19.0,4.6
Abu Dhabi,0,AE,1604810819,61,24.47,54.37,27.0,4.1
Kysyl-Syr,82,RU,1604810826,88,63.9,122.76,-20.62,2.34
Ambon City,78,ID,1604810663,62,-3.7,128.18,28.92,4.35
Dingle,36,PH,1604810826,68,11.0,122.67,29.17,2.06
Puerto Gaitán,99,CO,1604810827,85,4.31,-72.08,25.6,0.42
Ancud,28,CL,1604810827,71,-41.87,-73.82,11.11,7.7
Mount Gambier,0,AU,1604810827,40,-37.83,140.77,22.0,3.1
Tasiilaq,98,GL,1604810647,88,65.61,-37.64,-7.03,3.26
Pāsighāt,0,IN,1604810828,36,28.07,95.33,27.12,1.42
Iberia,90,US,1604810828,65,29.95,-91.75,26.0,3.1
Shimoda,75,JP,1604810829,64,34.67,138.95,21.0,1.5
Ribeira Grande,45,PT,1604810697,67,38.52,-28.7,16.27,5.55
Khandyga,98,RU,1604810830,87,62.67,135.6,-20.76,0.34
Loa Janan,99,ID,1604810830,63,-0.58,117.09,31.51,1.14
Kasongo-Lunda,99,CD,1604810831,94,-6.47,16.82,21.64,0.19
Havøysund,100,NO,1604810831,86,71.0,24.66,1.0,19.5
Yarke Pole,55,UA,1604810832,85,45.61,34.32,8.52,0.7
Ketchikan,1,US,1604810832,80,55.34,-131.65,3.0,5.1
Newtownards,100,GB,1604810832,87,54.59,-5.69,11.67,1.0
Mackay,75,AU,1604810833,65,-21.15,149.2,26.0,7.7
Kaseda-shirakame,75,JP,1604810833,63,31.42,130.32,17.0,8.2
Dzidzantun,4,MX,1604810833,96,21.25,-89.05,23.64,1.64
Port Hedland,0,AU,1604810834,25,-20.32,118.57,36.0,7.2
Salinas,90,US,1604810834,66,36.68,-121.66,13.0,3.6
Mugur-Aksy,0,RU,1604810834,89,50.35,90.5,-0.44,2.65
Nabire,56,ID,1604810835,70,-3.37,135.48,29.64,2.43
Semey,0,KZ,1604810835,42,50.41,80.23,8.0,11.0
Acton,61,GB,1604810836,100,51.51,-0.28,10.56,1.5
Bayonet Point,100,US,1604810836,77,28.33,-82.68,23.89,7.11
Guerrero Negro,12,MX,1604810836,69,27.98,-114.06,17.03,6.2
Santa Barbara,40,US,1604810539,81,34.73,-120.03,8.33,0.9
La Rioja,63,AR,1604810837,35,-29.41,-66.85,23.43,3.22
Samarkand,100,UZ,1604810109,26,39.65,66.96,15.0,2.1
Lakhīmpur,0,IN,1604810838,37,27.95,80.77,25.48,1.19
Felanitx,20,ES,1604810838,100,39.47,3.15,13.89,1.08
Quatre Cocos,75,MU,1604810838,78,-20.21,57.76,25.56,7.7
Sijunjung,100,ID,1604810652,87,-0.69,100.95,24.04,0.52
Beira,20,MZ,1604810839,83,-19.84,34.84,24.0,2.01
Mergen,90,CN,1604810839,90,49.18,125.22,-4.8,5.6
Codrington,0,AU,1604810840,72,-38.27,141.97,16.81,5.55
Manggar,91,ID,1604810687,75,-2.88,108.27,28.61,2.93
Redmond,62,US,1604810840,84,47.67,-122.12,6.11,1.23
Myitkyina,0,MM,1604810841,38,25.38,97.4,28.95,0.86
Chełmża,0,PL,1604810841,98,53.18,18.6,6.67,0.89
Nanortalik,100,GL,1604810669,97,60.14,-45.24,-1.95,8.38
Ouahigouya,0,BF,1604810842,23,13.58,-2.42,23.47,3.74
Mercedes,0,AR,1604810842,87,-34.65,-59.43,17.22,2.76
Kirkuk,0,IQ,1604810843,52,35.47,44.39,19.12,2.23
Lüderitz,0,NA,1604810520,84,-26.65,15.16,16.29,3.23
Ossora,1,RU,1604810843,86,59.24,163.07,-2.09,1.6
Yinzhu,0,CN,1604810781,30,35.88,119.98,15.0,5.0
Wakkanai,75,JP,1604810844,75,45.41,141.67,6.0,6.2
Pisco,90,PE,1604810844,88,-13.7,-76.22,17.0,5.7
Coahuayana Viejo,73,MX,1604810845,87,18.73,-103.68,23.44,1.17
Ugoofaaru,23,MV,1604810845,74,5.67,73.0,28.98,5.93
Kano,51,NG,1604810846,100,12.0,8.52,12.0,3.46
Chui,0,UY,1604810667,94,-33.7,-53.46,14.77,2.53
Lompoc,40,US,1604810846,87,34.64,-120.46,11.0,5.46
Doha,0,QA,1604810511,66,25.29,51.53,30.56,3.6
Kailua,40,US,1604810847,74,21.4,-157.74,27.0,4.1
Harwich,50,GB,1604810643,92,51.94,1.28,12.22,2.24
Banes,90,CU,1604810848,100,20.96,-75.72,22.0,5.1
Keti Bandar,0,PK,1604810849,36,24.14,67.45,29.13,2.53
Sol'-Iletsk,96,RU,1604810849,81,51.16,54.99,2.22,6.23
Heze,0,CN,1604810849,26,35.24,115.44,17.48,3.36
Port Augusta,0,AU,1604810850,24,-32.5,137.77,29.44,6.7
Naantali,0,FI,1604810850,71,60.47,22.02,4.0,1.5
Sokol,73,RU,1604810850,74,59.46,40.12,4.72,5.41
Cairns,3,AU,1604810717,45,-16.92,145.77,32.22,7.2
Aklavik,78,CA,1604810695,79,68.22,-135.01,-2.0,1.0
Pavlohrad,90,UA,1604810611,93,48.52,35.87,6.0,3.0
Yumen,0,CN,1604810852,26,40.28,97.2,13.22,3.4
Lata,96,PT,1604810852,87,40.16,-8.33,16.67,1.79
Blackfoot,99,US,1604810852,64,43.19,-112.34,5.0,4.47
Ystad,0,SE,1604810853,93,55.43,13.82,5.56,2.1
Thompson,90,CA,1604810690,85,55.74,-97.86,-9.0,1.5
Cockburn Town,100,TC,1604810853,83,21.46,-71.14,26.11,8.0
Āsosa,43,ET,1604810854,64,10.07,34.53,17.16,2.24
Boffa,0,GN,1604810854,93,10.17,-14.03,24.92,0.38
Itarema,58,BR,1604810854,80,-2.92,-39.92,26.02,6.21
Saint-Joseph,20,RE,1604810855,65,-21.37,55.62,26.0,9.8
Harpālpur,0,IN,1604810821,21,25.29,79.33,27.07,1.08
Nizhniy Chir,0,RU,1604810856,96,48.36,43.09,1.7,5.15
Husavik,40,IS,1604810857,48,66.04,-17.34,6.0,4.1
Bambanglipuro,86,ID,1604810696,64,-7.95,110.28,30.02,5.33
Provideniya,12,RU,1604810857,93,64.38,-173.3,-2.53,3.17
Port Blair,1,IN,1604810639,72,11.67,92.75,29.33,5.4
Baijiantan,0,CN,1604810858,44,45.63,85.18,9.32,0.71
Atar,18,MR,1604810859,22,20.52,-13.05,26.95,4.65
Nemuro,20,JP,1604810859,35,43.32,145.57,13.0,4.6
Wajima,75,JP,1604810859,58,37.4,136.9,15.0,5.7
General Roca,75,AR,1604810860,56,-39.03,-67.58,22.0,5.7
Gizo Government Station,86,SB,1604810860,70,-8.1,156.84,29.24,2.41
Quibdó,100,CO,1604810860,94,5.69,-76.66,22.63,0.65
Marzuq,0,YE,1604810861,36,14.4,46.47,22.76,1.08
Kashgar,0,CN,1604810861,23,39.45,75.98,10.0,3.0
Aktas,20,KZ,1604810861,27,49.78,72.96,10.0,15.0
Sangar,85,RU,1604810862,89,63.92,127.47,-22.99,2.54
Nouakchott,43,MR,1604810862,44,18.09,-15.98,26.0,5.7
Coyhaique,0,CL,1604810863,75,-45.58,-72.07,8.0,1.5
Acaraú,63,BR,1604810863,81,-2.89,-40.12,25.74,6.11
Tabat,49,ID,1604810863,42,-2.63,115.23,36.61,0.24
São Félix do Xingu,14,BR,1604810864,92,-6.64,-51.99,22.07,1.02
Sangamner,0,IN,1604810864,44,19.57,74.22,24.62,3.66
Pangnirtung,94,CA,1604810634,82,66.15,-65.71,-14.28,1.76
Nichinan,75,JP,1604810865,60,31.6,131.37,20.0,6.7
Manfredonia,5,IT,1604810714,93,41.63,15.91,10.56,3.1
Turaif,40,SA,1604810865,87,31.67,38.66,12.0,7.2
Palauig,89,PH,1604810866,65,15.44,119.9,31.09,0.08
Natal,40,BR,1604810582,78,-5.79,-35.21,27.0,5.1
Ozinki,8,RU,1604810867,88,51.18,49.68,1.52,5.17
Alyangula,75,AU,1604810867,66,-13.85,136.42,32.0,4.1
Calama,78,CL,1604810742,8,-22.47,-68.93,12.0,6.2
Ondjiva,95,AO,1604810868,26,-17.07,15.73,22.69,3.74
Stykkisholmur,50,IS,1604810868,80,65.08,-22.73,2.78,4.43
Smithers,5,CA,1604810869,73,54.78,-127.17,-3.0,2.6
Larsnes,94,NO,1604810869,96,62.2,5.58,5.56,1.05
Ōzu,20,JP,1604810870,45,33.5,132.55,21.11,4.6
Coquimbo,91,CL,1604810871,87,-29.95,-71.34,13.0,3.1
Amberley,1,US,1604810871,87,39.2,-84.43,13.33,1.54
Jieshi,93,CN,1604810871,60,22.81,115.83,26.11,0.45
Nishihara,90,JP,1604810872,88,26.18,127.76,27.0,4.1
Nouadhibou,97,MR,1604810872,77,20.93,-17.03,21.0,6.2
Gouré,0,NE,1604810873,31,13.98,10.27,21.67,4.02
Elizabeth City,1,US,1604810873,100,36.29,-76.25,15.0,1.2
Sakaiminato,75,JP,1604810874,42,35.55,133.23,20.0,5.7
Kieta,88,PG,1604810874,72,-6.22,155.63,28.79,1.0
Santa Fe,23,AR,1604810875,65,-31.63,-60.7,19.44,3.85
Tazovsky,100,RU,1604810670,99,67.47,78.7,-2.61,1.55
Antropovo,97,RU,1604810875,85,58.4,43.01,6.57,6.26
Alice Town,100,BS,1604810876,79,25.72,-79.3,26.68,14.02
Khatanga,0,RU,1604810574,88,71.97,102.5,-18.66,6.16
Kokopo,71,PG,1604810877,71,-4.35,152.26,29.27,2.25
Whitehorse,90,CA,1604810428,84,60.72,-135.05,-12.22,7.7
‘Āhuimanu,40,US,1604810877,74,21.44,-157.84,27.0,4.1
Umluj,79,SA,1604810878,51,25.02,37.27,23.9,2.78
Dul'durga,11,RU,1604810878,84,50.68,113.59,-2.35,3.45
Belmonte,20,BR,1604810878,94,-15.86,-38.88,24.0,2.6
Bariloche,40,AR,1604810826,57,-41.15,-71.31,11.0,4.1
New Waterford,1,US,1604810879,50,40.85,-80.61,14.0,1.5
Quelimane,0,MZ,1604810880,78,-17.88,36.89,26.0,4.1
Tomatlán,68,MX,1604810880,94,19.93,-105.25,22.2,0.74
Saint-Orens-de-Gameville,90,FR,1604810880,100,43.55,1.53,12.78,2.1
Puerto Rondón,98,CO,1604810881,96,6.28,-71.1,23.08,1.65
Xingcheng,0,CN,1604810881,37,40.62,120.72,8.93,6.25
Pacific Grove,90,US,1604810841,71,36.62,-121.92,12.22,3.6
